cpu,ram,swap,disk
9.8,68.6,65.2,69.0
5.0,68.6,65.2,69.0
25.8,68.8,65.2,69.0
4.4,68.8,65.2,69.0
6.2,68.8,65.2,69.0
8.0,68.8,65.2,69.0
3.1,68.8,65.2,69.0
6.7,68.6,65.2,69.0
4.4,68.6,65.2,69.0
4.9,68.6,65.2,69.0
3.1,68.6,65.2,69.0
4.9,68.6,65.2,69.0
5.5,68.6,65.2,69.0
2.5,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
4.1,68.6,65.2,69.0
5.5,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
5.8,68.6,65.2,69.0
6.9,68.6,65.2,69.0
8.1,68.7,65.2,69.0
6.8,68.7,65.2,69.0
6.7,68.7,65.2,69.0
15.0,68.7,65.2,69.0
11.2,68.8,65.2,69.0
0.0,68.8,65.2,69.0
0.0,68.8,65.2,69.0
0.0,68.8,65.2,69.0
5.8,68.8,65.2,69.0
6.3,68.8,65.2,69.0
4.3,68.8,65.2,69.0
6.0,68.8,65.2,69.0
4.9,68.8,65.2,69.0
3.7,68.8,65.2,69.0
5.6,68.8,65.2,69.0
5.7,68.8,65.2,69.0
5.6,68.6,65.2,69.0
5.6,68.6,65.2,69.0
3.8,68.6,65.2,69.0
7.3,68.6,65.2,69.0
5.6,68.6,65.2,69.0
0.0,68.6,65.2,69.0
0.0,68.6,65.2,69.0
4.7,68.6,65.2,69.0
3.8,68.6,65.2,69.0
6.1,68.6,65.2,69.0
5.7,68.6,65.2,69.0
3.1,68.6,65.2,69.0
6.2,68.6,65.2,69.0
10.6,68.8,65.2,69.0
6.3,68.7,65.2,69.0
8.5,68.7,65.2,69.0
13.1,68.7,65.2,69.0
33.5,68.7,65.2,69.0
19.9,68.8,65.2,69.0
0.0,68.8,65.2,69.0
0.0,68.7,65.2,69.0
0.0,68.9,65.2,69.0
23.5,68.9,65.2,69.0
21.6,68.7,65.2,69.0
24.1,68.7,65.2,69.0
8.6,68.7,65.2,69.0
6.2,68.7,65.2,69.0
3.7,68.7,65.2,69.0
9.4,68.5,65.2,69.0
0.0,68.5,65.2,69.0
0.0,68.5,65.2,69.0
0.0,68.5,65.2,69.0
7.0,68.5,65.2,69.0
5.0,68.5,65.2,69.0
5.5,68.5,65.2,69.0
0.0,68.5,65.2,69.0
0.0,68.5,65.2,69.0
5.2,68.5,65.2,69.0
6.8,68.6,65.2,69.0
4.4,68.6,65.2,69.0
4.9,68.6,65.2,69.0
